productID,shopID,name,price
1,1927,Jacket Puma,12000
2,512,Cap Gucci,75000
3,1138,Handbag Gucci,90000
4,1749,Jacket Adidas,85000
5,1249,Jacket Zara,38000
6,1519,Jeans Uniqlo,34000
7,1469,Jacket Adidas,85000
8,747,Backpack Adidas,17000
9,963,Cap Puma,57000
10,806,Backpack Uniqlo,36000
11,1776,Hoodie LouisVuitton,41000
12,1405,Hoodie LouisVuitton,19000
13,1046,TShirt Adidas,68000
14,1332,TShirt Gucci,13000
15,1013,Handbag Zara,84000
16,331,Sneakers Gucci,94000
17,1330,Jeans Gucci,12000
18,1994,Jeans Uniqlo,74000
19,306,Backpack Puma,70000
20,1542,Jacket Gucci,43000
21,1119,Sneakers Puma,91000
22,1977,Handbag Nike,91000
23,1938,Sneakers Puma,36000
24,1453,Hoodie Nike,45000
25,1558,Jeans Puma,39000
26,497,Sneakers LouisVuitton,25000
27,1147,TShirt Gucci,14000
28,722,Jeans Uniqlo,25000
29,1873,Backpack H&M,39000
30,1107,Hoodie H&M,35000
31,1336,Backpack LouisVuitton,89000
32,53,Jeans LouisVuitton,13000
33,1142,TShirt Uniqlo,97000
34,335,Handbag Gucci,94000
35,864,Backpack Puma,67000
36,1062,Jeans Puma,21000
37,446,Handbag Adidas,53000
38,1781,Cap Uniqlo,62000
39,1707,Handbag Uniqlo,97000
40,566,Backpack Zara,61000
41,1459,Jeans Nike,88000
42,327,Jacket LouisVuitton,80000
43,1411,Sneakers Uniqlo,69000
44,1798,Jeans Zara,46000
45,12,Cap H&M,73000
46,1397,Handbag H&M,56000
47,896,TShirt Uniqlo,42000
48,1190,Hoodie Adidas,53000
49,1379,Jacket Zara,84000
50,1630,Hoodie Adidas,65000
51,1498,TShirt Gucci,88000
52,70,Hoodie Adidas,77000
53,895,Backpack Gucci,61000
54,1397,Jeans LouisVuitton,79000
55,570,Sneakers Adidas,57000
56,1031,Sneakers Adidas,54000
57,985,TShirt Nike,64000
58,952,Sneakers Puma,10000
59,361,Sneakers Puma,67000
60,361,Hoodie LouisVuitton,68000
61,601,TShirt Nike,80000
62,1690,Handbag Puma,10000
63,1806,Sneakers Gucci,98000
64,1309,Jeans H&M,77000
65,441,Jeans H&M,88000
66,1161,Backpack H&M,82000
67,834,Jeans Zara,29000
68,564,Jacket LouisVuitton,78000
69,1440,Jacket Uniqlo,96000
70,904,Sneakers Adidas,41000
71,398,TShirt LouisVuitton,75000
72,318,Backpack Uniqlo,69000
73,520,TShirt LouisVuitton,36000
74,1701,Backpack H&M,86000
75,1899,Sneakers H&M,33000
76,1291,Sneakers Gucci,16000
77,1416,Backpack Nike,29000
78,1122,Backpack Nike,18000
79,448,Hoodie Nike,69000
80,668,Cap Adidas,35000
81,1785,Sneakers LouisVuitton,64000
82,159,Handbag Uniqlo,36000
83,519,Handbag LouisVuitton,97000
84,1218,Jacket H&M,21000
85,1875,Handbag Puma,96000
86,797,Handbag H&M,51000
87,1671,Jacket Zara,50000
88,301,Sneakers LouisVuitton,65000
89,512,Cap Uniqlo,15000
90,1517,Backpack Gucci,92000
91,1066,Jacket LouisVuitton,22000
92,508,Jeans LouisVuitton,14000
93,551,Backpack Nike,81000
94,973,Jacket Nike,10000
95,872,Jacket LouisVuitton,60000
96,1890,Handbag Uniqlo,17000
97,81,Backpack H&M,33000
98,209,TShirt Uniqlo,62000
99,873,TShirt H&M,33000
100,607,Handbag Zara,49000
101,535,TShirt LouisVuitton,24000
102,870,Hoodie Adidas,49000
103,1494,TShirt Uniqlo,53000
104,498,TShirt Zara,40000
105,1217,Hoodie LouisVuitton,48000
106,1391,Jacket Uniqlo,85000
107,663,Handbag Uniqlo,46000
108,717,Hoodie Uniqlo,90000
109,1591,Sneakers Zara,69000
110,1356,Handbag LouisVuitton,56000
111,1445,Hoodie Uniqlo,40000
112,1728,Jeans LouisVuitton,29000
113,419,Jeans Zara,43000
114,429,TShirt LouisVuitton,69000
115,392,Jeans LouisVuitton,45000
116,875,Cap Uniqlo,70000
117,1276,Sneakers Adidas,41000
118,1426,Jacket LouisVuitton,40000
119,889,Cap Nike,93000
120,1535,Jacket H&M,67000
121,1819,TShirt Gucci,82000
122,301,Backpack H&M,88000
123,1392,Hoodie Nike,90000
124,1116,Hoodie Adidas,62000
125,521,Backpack Adidas,43000
126,350,Sneakers Adidas,54000
127,70,Sneakers LouisVuitton,68000
128,324,Backpack LouisVuitton,77000
129,1470,Sneakers Uniqlo,77000
130,868,Backpack Nike,87000
131,628,TShirt Gucci,85000
132,902,Handbag Gucci,37000
133,1842,Sneakers Zara,28000
134,338,Hoodie H&M,71000
135,641,Hoodie Adidas,40000
136,563,Hoodie Zara,49000
137,1054,Jeans Zara,71000
138,1590,Jeans Puma,97000
139,311,Jeans Gucci,71000
140,379,Cap Zara,64000
141,603,Jeans Zara,18000
142,290,Hoodie Adidas,44000
143,781,Backpack Zara,53000
144,1631,Handbag Puma,65000
145,33,Sneakers Nike,98000
146,1399,Sneakers LouisVuitton,47000
147,221,Hoodie Nike,29000
148,624,Hoodie Gucci,73000
149,553,Hoodie Adidas,33000
150,1844,TShirt Puma,65000
151,175,Hoodie H&M,68000
152,190,Hoodie Nike,24000
153,507,Cap Puma,42000
154,490,Handbag Adidas,14000
155,203,Hoodie Adidas,57000
156,1481,TShirt Zara,89000
157,175,Sneakers Zara,35000
158,1898,Handbag Gucci,80000
159,1370,Cap Uniqlo,49000
160,1314,Hoodie Uniqlo,20000
161,622,Jeans Zara,36000
162,1044,Handbag Uniqlo,46000
163,196,Jacket Uniqlo,33000
164,729,TShirt Nike,29000
165,1553,Jacket Puma,85000
166,969,Hoodie Puma,57000
167,754,Jacket H&M,62000
168,1728,TShirt Adidas,33000
169,1296,Backpack Nike,54000
170,89,Backpack Zara,92000
171,796,Hoodie Adidas,55000
172,502,Backpack Gucci,79000
173,404,Sneakers Puma,98000
174,741,Sneakers Gucci,28000
175,1803,TShirt Adidas,85000
176,635,TShirt Puma,79000
177,1477,Sneakers Zara,28000
178,1293,Jacket Zara,60000
179,167,Sneakers Uniqlo,29000
180,1970,Jeans Puma,48000
